headings,post_link,date,author
The transition to a Biden-Harris administration,https://www.vox.com/2020/11/16/21564672/biden-transtition-team-covid-appointment,"Nov 16, 2020",Vox Staff
10 enormously consequential things Biden can do without the Senate,https://www.vox.com/21557717/joe-biden-executive-order-student-debt-climate,"Nov 19, 2020",Dylan Matthews
What likely voters want to see in a Biden Cabinet,https://www.vox.com/21561375/poll-joe-biden-cabinet-transition-data-for-progress,"Nov 17, 2020",Li Zhou and Christina Animashaun
Most Latinos voted for Biden — but 2020 revealed fault lines for Democrats,https://www.vox.com/21551025/latino-national-vote-biden-trump-2020-florida-texas,"Nov 12, 2020",Nicole Narea
Joe Biden has won. Here’s what comes next.,https://www.vox.com/2020/11/6/21534594/joe-biden-wins-2020-presidential-election,"Nov  8, 2020",Dylan Matthews
"How Joe Biden, the ultimate insider, defeated Donald Trump, the ultimate outsider",https://www.vox.com/21545969/joe-biden-2020-election-winner-trump-vote,"Nov  6, 2020",Ezra Klein
How Joe Biden plans to use executive powers to fight climate change ,https://www.vox.com/21549521/joe-biden-transition-climate-change-senate-runoff,"Nov  9, 2020",Umair Irfan
"Why Decision Desk called Pennsylvania, and the presidential race, for Joe Biden ",https://www.vox.com/21552641/joe-biden-wins-pennsylvania-decision-desk,"Nov  6, 2020",Andrew Prokop
World leaders react to Biden’s win as Americans take to the streets in celebration ,https://www.vox.com/policy-and-politics/2020/11/7/21554267/world-leaders-biden-american-celebration,"Nov  7, 2020",Kainaz Amaria and Katelyn Burns
Meet the voters who switched parties in 2020,https://www.vox.com/2020/11/18/21571721/election-2020-trump-biden-voters-new,"Nov 18, 2020",Brianna Provenzano
"Joe Biden will be president, but there will be no Green New Deal",https://www.vox.com/energy-and-environment/21547245/joe-biden-wins-2020-climate-change-clean-energy-policy,"Nov  6, 2020",David Roberts
What Trump can do during his lame-duck session,https://www.vox.com/2020/11/9/21552855/trump-lame-duck-pardon-executive-order-firing-transition,"Nov  9, 2020",Rani Molla
What Biden could still do to fight Covid-19 if there’s a Republican Senate,https://www.vox.com/future-perfect/21550954/biden-wins-election-results-coronavirus-republican-senate,"Nov  6, 2020",German Lopez
Vox live results: Joe Biden wins the presidency,https://www.vox.com/21551153/presidential-election-results-trump-biden,"Nov  6, 2020",Ella Nilsen and Emily Stewart
President-elect Joe Biden’s transition team is one of the most diverse ever,https://www.vox.com/21573829/president-elect-joe-biden-transition-team-staffing-diversity,"Nov 20, 2020",Li Zhou
Inside the behind-the-scenes fight to convince Joe Biden about Silicon Valley,https://www.vox.com/21561878/joe-biden-transition-silicon-valley-personnel-eric-schmidt,"Nov 17, 2020",Theodore Schleifer
